iter	Passed	Remaining
978	398605	822861
979	398947	822320
980	399251	821701
981	399561	821095
982	399871	820489
983	400219	819961
984	400512	819323
985	400781	818634
986	401087	818024
987	401433	817494
988	401730	816864
989	401997	816176
990	402339	815639
991	402663	815069
992	402932	814385
993	403255	813813
994	403550	813184
995	403841	812548
996	404169	811986
997	404493	811418
998	404788	810791
999	405100	810201
1000	405441	809667
1001	405810	809190
1002	406279	808913
1003	406542	808226
1004	406833	807595
1005	407110	806935
1006	407451	806405
1007	407815	805921
1008	408300	805674
1009	408571	805007
1010	408828	804313
1011	409110	803667
1012	409410	803058
1013	409701	802432
1014	410009	801840
1015	410280	801177
1016	410608	800625
1017	410924	800051
1018	411224	799446
1019	411530	798852
1020	411879	798344
1021	412169	797722
1022	412458	797098
1023	412748	796476
1024	413042	795863
1025	413325	795229
1026	413674	794723
1027	413957	794090
1028	414261	793497
1029	414616	793004
1030	414951	792471
1031	415195	791768
1032	415542	791261
1033	415853	790684
1034	416174	790128
1035	416533	789644
1036	416897	789171
1037	417238	788652
1038	417604	788182
1039	418030	787826
1040	418304	787184
1041	418606	786594
1042	418923	786032
1043	419185	785369
1044	419461	784734
1045	419742	784108
1046	420068	783566
1047	420399	783035
1048	420761	782559
1049	421083	782012
1050	421394	781444
1051	421715	780895
1052	422033	780340
1053	422383	779846
1054	422681	779256
1055	422991	778689
1056	423295	778110
1057	423593	777522
1058	423918	776984
1059	424385	776705
1060	424772	776280
1061	425063	775681
1062	425401	775167
1063	425719	774617
1064	426033	774060
1065	426385	773574
1066	426665	772956
1067	426937	772325
1068	427270	771805
1069	427596	771271
1070	427896	770693
1071	428186	770096
1072	428514	769568
1073	428773	768918
1074	429059	768315
1075	429363	767746
1076	429653	767153
1077	429959	766587
1078	430295	766078
1079	430617	765542
1080	430910	764956
1081	431201	764366
1082	431553	763886
1083	431864	763331
1084	432185	762797
1085	432500	762251
1086	432810	761698
1087	433097	761105
1088	433394	760528
1089	433735	760031
1090	434003	759406
1091	434321	758869
1092	434641	758336
1093	434937	757760
1094	435218	757161
1095	435545	756640
1096	435843	756071
1097	436148	755513
1098	436420	754899
1099	436740	754369
1100	437013	753759
1101	437345	753251
1102	437616	752636
1103	437940	752114
1104	438224	751524
1105	438569	751040
1106	438925	750574
1107	439206	749980
1108	439531	749462
1109	440004	749196
1110	440293	748618
1111	440587	748048
1112	440883	747481
1113	441140	746849
1114	441453	746313
1115	441706	745676
1116	442001	745110
1117	442301	744554
1118	442561	743930
1119	442828	743319
1120	443147	742795
1121	443467	742275
1122	443774	741731
1123	444062	741157
1124	444402	740670
1125	444714	740137
1126	445005	739569
1127	445294	739000
1128	445582	738428
1129	445884	737880
1130	446157	737284
1131	446444	736712
1132	446750	736172
1133	447027	735584
1134	447388	735136
1135	447692	734593
1136	448002	734062
1137	448301	733511
1138	448609	732977
1139	448928	732462
1140	449250	731951
1141	449606	731496
1142	449850	730858
1143	450169	730344
1144	450500	729850
1145	450778	729270
1146	451102	728763
1147	451419	728248
1148	451714	727696
1149	452009	727145
1150	452313	726608
1151	452732	726258
1152	453199	725983
1153	453496	725436
1154	453806	724911
1155	454107	724372
1156	454409	723834
1157	454716	723304
1158	455048	722816
1159	455308	722213
1160	455626	721702
1161	455946	721195
1162	456254	720669
1163	456492	720034
1164	456749	719430
1165	457063	718914
1166	457386	718414
1167	457654	717828
1168	457960	717302
1169	458246	716743
1170	458595	716285
1171	458918	715787
1172	459215	715248
1173	459527	714733
1174	459828	714202
1175	460151	713704
1176	460460	713185
1177	460724	712596
1178	461156	712270
1179	461529	711850
1180	461843	711339
1181	462189	710880
1182	462494	710356
1183	462797	709830
1184	463052	709231
1185	463362	708717
1186	463647	708165
1187	463935	707619
1188	464270	707143
1189	464579	706629
1190	464891	706119
1191	465182	705578
1192	465528	705121
1193	465781	704523
1194	466046	703944
1195	466380	703470
1196	466659	702913
1197	466972	702407
1198	467255	701856
1199	467554	701331
1200	467849	700800
1201	468144	700269
1202	468514	699851
1203	468812	699324
1204	469124	698820
1205	469402	698265
1206	469734	697791
1207	470043	697283
1208	470356	696781
1209	470675	696287
1210	470968	695757
1211	471281	695257
1212	471542	694679
1213	471871	694203
1214	472167	693677
1215	472486	693187
1216	472783	692664
1217	473091	692158
1218	473385	691631
1219	473665	691085
1220	473976	690584
1221	474287	690084
1222	474581	689559
1223	474905	689078
1224	475209	688569
1225	475503	688044
1226	475767	687478
1227	476100	687011
1228	476405	686505
1229	476697	685979
1230	476987	685451
1231	477305	684964
1232	477654	684521
1233	477991	684062
1234	478286	683542
1235	478608	683063
1236	478908	682550
1237	479317	682195
1238	479593	681649
1239	479903	681153
1240	480253	680713
1241	480537	680181
1242	480835	679668
1243	481103	679114
1244	481424	678634
1245	481710	678105
1246	482003	677587
1247	482275	677039
1248	482611	676583
1249	482916	676082
1250	483195	675546
1251	483498	675044
1252	483787	674522
1253	484071	673994
1254	484399	673527
